Sample_directory	Sample	Brain.ID	Region	fastq	clip_fastq	all_mapped_read	uniquely_mapped_read
Sample_AN04682_ba9_1st	AN04682_ba9_1st	AN04682	ba9	5167828	3996081	6662340	1780070
Sample_AN04682_vermis_2nd	AN04682_vermis_2nd	AN04682	vermis	3748144	2602560	4364562	1031538
Sample_AN05983_ba41-42-22_1st	AN05983_ba41-42-22_1st	AN05983	ba41/42/22	5203027	4089472	6653166	1793742
Sample_AN05983-BA9_AN05983_ba9_3rd	AN05983_ba9_3rd	AN05983	ba9	4679742	4218432	7031248	2212071
Sample_AN05983_vermis_1st	AN05983_vermis_1st	AN05983	vermis	6673564	5750833	9681351	2482787
Sample_AN06133-CB_AN06133_vermis_3rd	AN06133_vermis_3rd	AN06133	vermis	6119715	5616784	10641689	1877118
Sample_AN06365_ba41-42-22_1st	AN06365_ba41-42-22_1st	AN06365	ba41/42/22	4104983	3483358	5524627	1431312
Sample_AN06420_ba41-42-22_53	AN06420_ba41-42-22_53	AN06420	ba41/42/22	4095432	3188714	4949165	1496469
Sample_AN06420_ba9_52	AN06420_ba9_52	AN06420	ba9	4423681	3831320	5941184	1699476
Sample_AN06420_vermis_54	AN06420_vermis_54	AN06420	vermis	4245432	3489681	5849395	1362353
Sample_AN06875-CB_AN06875_vermis_3rd	AN06875_vermis_3rd	AN06875	vermis	4517622	4201608	7770621	2064037
Sample_AN07176_ba41-42-22_14	AN07176_ba41-42-22_14	AN07176	ba41/42/22	5667846	3734099	6297271	1762323
Sample_AN07176_ba41-42-22_97	AN07176_ba41-42-22_97	AN07176	ba41/42/22	4718804	2136253	3999390	1012980
Sample_AN07176_ba9_96	AN07176_ba9_96	AN07176	ba9	6135772	4523816	7549400	2355185
Sample_AN07444_ba41-42-22_1st	AN07444_ba41-42-22_1st	AN07444	ba41/42/22	5873957	4284412	7694539	2052257
Sample_AN07444-BA9_AN07444_ba9_3rd	AN07444_ba9_3rd	AN07444	ba9	4934063	4377266	7392145	2550268
Sample_AN07444_vermis_2nd	AN07444_vermis_2nd	AN07444	vermis	5575648	4356466	7606102	1857071
Sample_AN08043_ba41-42-22_1st	AN08043_ba41-42-22_1st	AN08043	ba41/42/22	5454919	4104255	6791357	2029478
Sample_AN08043_ba9_1st	AN08043_ba9_1st	AN08043	ba9	4993135	4188602	6811415	2053742
Sample_AN08043_vermis_1st	AN08043_vermis_1st	AN08043	vermis	6432279	5595570	9623341	2297813
Sample_AN08161_ba41-42-22_1st	AN08161_ba41-42-22_1st	AN08161	ba41/42/22	4901760	3719726	6178630	1922184
Sample_AN08161_ba9_1st	AN08161_ba9_1st	AN08161	ba9	5185837	4018268	6755107	1943127
Sample_AN08161_vermis_2nd	AN08161_vermis_2nd	AN08161	vermis	3890702	3188239	5444693	1361115
Sample_AN08166_ba41-42-22_86	AN08166_ba41-42-22_86	AN08166	ba41/42/22	4964816	4425128	7175227	2316660
