Sample_directory	Sample	Brain.ID	Region	fastq	clip_fastq	unmapped_read	uniquely_mapped_read
Sample_AN13295_ba9_88	AN13295_ba9_88	AN13295	ba9	4593452	4223533	393995	667818
Sample_AN13295_vermis_90	AN13295_vermis_90	AN13295	vermis	4596022	3714673	403622	664921
Sample_AN13872_ba41-42-22_50	AN13872_ba41_42_22_50	AN13872	ba41/42/22	5812098	4051562	201425	658164
Sample_AN13872_ba9_49	AN13872_ba9_49	AN13872	ba9	4094713	3780772	377831	915667
Sample_AN13872_vermis_51	AN13872_vermis_51	AN13872	vermis	3252126	2752101	125343	552151
Sample_AN14757_ba41-42-22_1st	AN14757_ba41_42_22_1st	AN14757	ba41/42/22	6140419	5239553	544981	1446278
Sample_AN14757_ba41-42-22_38	AN14757_ba41_42_22_38	AN14757	ba41/42/22	4602206	4032837	490033	889643
Sample_AN14757_ba9_2nd	AN14757_ba9_2nd	AN14757	ba9	9903500	8216944	421036	1711943
Sample_AN14757_vermis_2nd	AN14757_vermis_2nd	AN14757	vermis	5960589	4979629	347486	917449
Sample_AN14757_vermis_39	AN14757_vermis_39	AN14757	vermis	2538732	1861469	103674	406664
Sample_AN14762_ba41-42-22_1st	AN14762_ba41_42_22_1st	AN14762	ba41/42/22	4429255	3355812	363494	778717
Sample_AN14762_ba9_1st	AN14762_ba9_1st	AN14762	ba9	3355668	2463225	175758	678280
Sample_AN14762_vermis_1st	AN14762_vermis_1st	AN14762	vermis	4146061	3449771	137874	625615
Sample_AN14829_ba41-42-22_1st	AN14829_ba41_42_22_1st	AN14829	ba41/42/22	4265287	2925905	87666	387279
Sample_AN14829_ba9_1st	AN14829_ba9_1st	AN14829	ba9	5779053	5323561	429936	690548
Sample_AN14829_vermis_1st	AN14829_vermis_1st	AN14829	vermis	4942519	3250973	193955	538052
Sample_AN15088-BA41-42-22_AN15088_ba41-42-22_3rd	AN15088_ba41_42_22_3rd	AN15088	ba41/42/22	5059733	4614831	295443	1197226
Sample_AN15088_ba9_1st	AN15088_ba9_1st	AN15088	ba9	1566050	1480131	82397	427451
Sample_AN15566_ba9_28	AN15566_ba9_28	AN15566	ba9	4023016	3373783	419045	764715
Sample_AN15566_vermis_30	AN15566_vermis_30	AN15566	vermis	5001325	4147315	343080	714090
Sample_AN16115_ba9_70	AN16115_ba9_70	AN16115	ba9	4882483	4410672	324321	511596
Sample_AN16641_ba41-42-22_74	AN16641_ba41_42_22_74	AN16641	ba41/42/22	4978696	3566805	328758	641493
Sample_AN16641_vermis_75	AN16641_vermis_75	AN16641	vermis	14766218	7063083	616174	1702821
Sample_AN17138_ba41-42-22_44	AN17138_ba41_42_22_44	AN17138	ba41/42/22	5628003	5244205	366949	533468
Sample_AN17138_ba9_43	AN17138_ba9_43	AN17138	ba9	5823486	5116321	254561	536620
Sample_AN17138_vermis_45	AN17138_vermis_45	AN17138	vermis	4432453	4194443	250800	316208
Sample_AN17254_ba9_98	AN17254_ba9_98	AN17254	ba9	4371398	1974786	232458	529730
Sample_AN17254_vermis_100	AN17254_vermis_100	AN17254	vermis	6438715	5568976	213297	751449
Sample_AN17425_ba41-42-22_1st	AN17425_ba41_42_22_1st	AN17425	ba41/42/22	5302821	3901708	407272	916210
Sample_AN17425_ba41-42-22_32	AN17425_ba41_42_22_32	AN17425	ba41/42/22	5337302	3384893	323503	685158
Sample_AN17425_ba9_1st	AN17425_ba9_1st	AN17425	ba9	4395243	3591518	399921	743351
Sample_AN17425_ba9_31	AN17425_ba9_31	AN17425	ba9	4105917	2661748	329024	638107
Sample_AN17425_vermis_1st	AN17425_vermis_1st	AN17425	vermis	5028900	4089872	318922	688124
Sample_AN17425_vermis_33	AN17425_vermis_33	AN17425	vermis	5205516	4645808	371032	840111
Sample_AN17515-BA41-42-22_AN17515_ba41-42-22_3rd	AN17515_ba41_42_22_3rd	AN17515	ba41/42/22	4880080	4546854	249544	1160841
Sample_AN17515_ba9_1st	AN17515_ba9_1st	AN17515	ba9	4608522	4259720	362277	962803
Sample_AN17515_vermis_1st	AN17515_vermis_1st	AN17515	vermis	5078829	3867493	235664	781399
Sample_AN17678_vermis_1st	AN17678_vermis_1st	AN17678	vermis	4688385	3954643	273876	768242
Sample_AN17777_ba41-42-22_83	AN17777_ba41_42_22_83	AN17777	ba41/42/22	5169481	3073413	315028	755962
Sample_AN17777_ba9_82	AN17777_ba9_82	AN17777	ba9	5545701	3221237	269683	866507
Sample_AN17777_vermis_84	AN17777_vermis_84	AN17777	vermis	3238221	2748204	109512	376001
Sample_AN19442-BA9_AN19442_ba9_3rd	AN19442_ba9_3rd	AN19442	ba9	4054667	3749866	265218	750597
Sample_AN19511_ba41-42-22_113	AN19511_ba41_42_22_113	AN19511	ba41/42/22	4249648	2435123	278540	404532
Sample_AN19511_ba9_112	AN19511_ba9_112	AN19511	ba9	4955854	3222910	180079	875817
Sample_AN19511_vermis_114	AN19511_vermis_114	AN19511	vermis	5562427	5170548	354985	952045
Sample_AN19760_ba9_25	AN19760_ba9_25	AN19760	ba9	4206458	3094826	417502	877549
Sample_AN19760_vermis_27	AN19760_vermis_27	AN19760	vermis	4645229	3071839	305973	656364
Sample_NP024_10-BA41-42-22_NP024_10_ba41-42-22_3rd	NP024_10_ba41_42_22_3rd	NP024_10	ba41/42/22	4631747	4101944	264180	370053
Sample_NP024_10-BA9_NP024_10_ba9_3rd	NP024_10_ba9_3rd	NP024_10	ba9	4721544	4100929	273521	518875
Sample_NP024_10-CB_NP024_10_vermis_3rd	NP024_10_vermis_3rd	NP024_10	vermis	5074839	4705889	131666	331234
Sample_NP121_11-BA41-42-22_NP121_11_ba41-42-22_3rd	NP121_11_ba41_42_22_3rd	NP121_11	ba41/42/22	4104374	3457767	368271	579488
Sample_NP121_11-BA9_NP121_11_ba9_3rd	NP121_11_ba9_3rd	NP121_11	ba9	4403341	4191572	442224	574201
Sample_NP167_08-BA41-42-22_NP167_08_ba41-42-22_3rd	NP167_08_ba41_42_22_3rd	NP167_08	ba41/42/22	4446574	4175328	234374	214813
